2018-04-21 10:05:39 this bot joined the server
2018-04-21 10:16:06 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a320bf to #965d9d
2018-04-21 10:16:11 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #965d9d to #68f5f3
2018-04-21 10:16:15 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #68f5f3 to #9f56b2
2018-04-21 10:16:23 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #9f56b2 to #9c7ece
2018-04-21 10:16:27 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #9c7ece to #a7e01e
2018-04-21 10:16:32 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a7e01e to #cf2c59
2018-04-21 10:16:36 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #cf2c59 to #b12b9b
2018-04-21 10:16:40 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b12b9b to #033623
2018-04-21 10:16:43 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #033623 to #a48ff4
2018-04-21 10:16:47 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a48ff4 to #83f359
2018-04-21 10:16:50 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #83f359 to #ef0dc6
2018-04-21 10:16:54 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #ef0dc6 to #b073f4
2018-04-21 10:16:58 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b073f4 to #83d2eb
2018-04-21 10:17:05 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #83d2eb to #a3fabd
2018-04-21 10:17:12 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a3fabd to #ca07cc
2018-04-21 10:17:16 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #ca07cc to #68b3e8
2018-04-21 10:17:19 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #68b3e8 to #a0c07d
2018-04-21 10:17:23 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a0c07d to #db8fe8
2018-04-21 10:17:30 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #db8fe8 to #91873c
2018-04-21 10:17:34 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #91873c to #6a58a1
2018-04-21 10:17:41 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #6a58a1 to #cbab7a
2018-04-21 10:17:49 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #cbab7a to #19fe63
2018-04-21 10:17:52 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #19fe63 to #68466d
2018-04-21 10:18:00 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #68466d to #794bdd
2018-04-21 10:18:04 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #794bdd to #82028e
2018-04-21 10:18:11 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #82028e to #3821c9
2018-04-21 10:18:18 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #3821c9 to #8a63cd
2018-04-21 10:18:25 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #8a63cd to #6bf923
2018-04-21 10:18:32 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #6bf923 to #a06937
2018-04-21 10:18:39 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a06937 to #06e834
2018-04-21 10:18:43 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #06e834 to #36b435
2018-04-21 10:18:46 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #36b435 to #77b88d
2018-04-21 10:18:50 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #77b88d to #7cda73
2018-04-21 10:18:54 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7cda73 to #e50a8d
2018-04-21 10:18:57 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e50a8d to #07c611
