2018-04-22 00:01:06 this bot joined the server
2018-04-22 00:57:42 Role color: 'my coloring role' changed from #f95b96 to #e340f1
2018-04-22 00:57:57 Role color: 'my coloring role' changed from #e340f1 to #0ab352
2018-04-22 00:58:13 Role color: 'my coloring role' changed from #0ab352 to #4a5379
2018-04-22 00:58:23 Role color: 'my coloring role' changed from #4a5379 to #ae97a2
2018-04-22 00:58:33 Role color: 'my coloring role' changed from #ae97a2 to #409742
2018-04-22 00:58:43 Role color: 'my coloring role' changed from #409742 to #1f8cae
2018-04-22 00:58:53 Role color: 'my coloring role' changed from #1f8cae to #4c339a
2018-04-22 00:59:03 Role color: 'my coloring role' changed from #4c339a to #ed9cff
2018-04-22 00:59:25 Role color: 'my coloring role' changed from #ed9cff to #81efe1
2018-04-22 00:59:35 Role color: 'my coloring role' changed from #81efe1 to #6141ec
2018-04-22 00:59:45 Role color: 'my coloring role' changed from #6141ec to #7bac93
2018-04-22 00:59:55 Role color: 'my coloring role' changed from #7bac93 to #23f3bb
2018-04-22 01:00:11 Role color: 'my coloring role' changed from #23f3bb to #8df507
2018-04-22 01:00:39 Role color: 'my coloring role' changed from #8df507 to #177664
2018-04-22 01:00:49 Role color: 'my coloring role' changed from #177664 to #a24746
2018-04-22 01:00:59 Role color: 'my coloring role' changed from #a24746 to #f34234
2018-04-22 01:01:27 Role color: 'my coloring role' changed from #f34234 to #042f3b
2018-04-22 01:01:37 Role color: 'my coloring role' changed from #042f3b to #5d3520
2018-04-22 01:01:46 Role color: 'my coloring role' changed from #5d3520 to #d462b4
2018-04-22 01:02:08 Role color: 'my coloring role' changed from #d462b4 to #954d21
2018-04-22 01:02:18 Role color: 'my coloring role' changed from #954d21 to #79b14a
2018-04-22 01:02:28 Role color: 'my coloring role' changed from #79b14a to #6ddfcd
2018-04-22 01:02:38 Role color: 'my coloring role' changed from #6ddfcd to #4a8ff5
2018-04-22 01:02:48 Role color: 'my coloring role' changed from #4a8ff5 to #8acd5b
2018-04-22 01:03:16 Role color: 'my coloring role' changed from #8acd5b to #3240d8
2018-04-22 01:03:26 Role color: 'my coloring role' changed from #3240d8 to #1f4ea3
2018-04-22 01:03:47 Role color: 'my coloring role' changed from #1f4ea3 to #0a2f1c
2018-04-22 01:03:57 Role color: 'my coloring role' changed from #0a2f1c to #915bd4
2018-04-22 01:04:13 Role color: 'my coloring role' changed from #915bd4 to #0d355d
2018-04-22 01:04:29 Role color: 'my coloring role' changed from #0d355d to #4daa8b
2018-04-22 01:04:39 Role color: 'my coloring role' changed from #4daa8b to #d91bb2
2018-04-22 01:04:49 Role color: 'my coloring role' changed from #d91bb2 to #874895
2018-04-22 01:04:59 Role color: 'my coloring role' changed from #874895 to #498493
