2018-04-24 19:12:39 this bot joined the server
2018-04-24 19:12:39 Member role add: 'Synapse' role was added to @Synapse#0692
2018-04-24 19:12:53 Member role add: '📞SEKRETER📞' role was added to @Synapse#0692
2018-04-24 21:33:42 Role color: '👑 KİNG FOUNDER👑' changed from #c0f172 to #72630d
2018-04-24 21:33:59 Role color: '👑 KİNG FOUNDER👑' changed from #72630d to #2e0c44
2018-04-24 21:34:09 Role color: '👑 KİNG FOUNDER👑' changed from #2e0c44 to #4099bd
2018-04-24 21:34:19 Role color: '👑 KİNG FOUNDER👑' changed from #4099bd to #ad2ca3
2018-04-24 21:35:11 Role color: '👑 KİNG FOUNDER👑' changed from #ad2ca3 to #c94095
2018-04-24 21:35:35 Role color: '👑 KİNG FOUNDER👑' changed from #c94095 to #ecb17e
2018-04-24 21:35:45 Role color: '👑 KİNG FOUNDER👑' changed from #ecb17e to #2f1ea6
2018-04-24 21:36:36 Role color: '👑 KİNG FOUNDER👑' changed from #2f1ea6 to #1d9906
2018-04-24 21:36:46 Role color: '👑 KİNG FOUNDER👑' changed from #1d9906 to #b978cc
2018-04-24 21:36:56 Role color: '👑 KİNG FOUNDER👑' changed from #b978cc to #21c004
2018-04-24 21:37:06 Role color: '👑 KİNG FOUNDER👑' changed from #21c004 to #56108c
2018-04-24 21:37:24 Role color: '👑 KİNG FOUNDER👑' changed from #56108c to #cc1f7f
2018-04-24 21:37:40 Role color: '👑 KİNG FOUNDER👑' changed from #cc1f7f to #c34313
2018-04-24 21:37:58 Role color: '👑 KİNG FOUNDER👑' changed from #c34313 to #847c5a
2018-04-24 21:38:14 Role color: '👑 KİNG FOUNDER👑' changed from #847c5a to #3f699a
2018-04-24 21:39:53 Role color: '👑 KİNG FOUNDER👑' changed from #3f699a to #f9b256
2018-04-24 21:40:04 Role color: '👑 KİNG FOUNDER👑' changed from #f9b256 to #d9caa8
2018-04-24 21:40:14 Role color: '👑 KİNG FOUNDER👑' changed from #d9caa8 to #d50481
2018-04-24 21:40:25 Role color: '👑 KİNG FOUNDER👑' changed from #d50481 to #a9e0e5
2018-04-24 21:40:35 Role color: '👑 KİNG FOUNDER👑' changed from #a9e0e5 to #6f3fa0
2018-04-24 21:40:45 Role color: '👑 KİNG FOUNDER👑' changed from #6f3fa0 to #1c9727
2018-04-24 21:40:56 Role color: '👑 KİNG FOUNDER👑' changed from #1c9727 to #8f3480
2018-04-24 21:41:06 Role color: '👑 KİNG FOUNDER👑' changed from #8f3480 to #f5f2a5
2018-04-24 21:41:16 Role color: '👑 KİNG FOUNDER👑' changed from #f5f2a5 to #ca4b07
2018-04-24 21:41:27 Role color: '👑 KİNG FOUNDER👑' changed from #ca4b07 to #76740c
2018-04-24 21:41:37 Role color: '👑 KİNG FOUNDER👑' changed from #76740c to #d98e5c
2018-04-24 21:41:47 Role color: '👑 KİNG FOUNDER👑' changed from #d98e5c to #11d103
2018-04-24 21:42:04 Role color: '👑 KİNG FOUNDER👑' changed from #11d103 to #beaeb1
2018-04-24 21:42:20 Role color: '👑 KİNG FOUNDER👑' changed from #beaeb1 to #b73578
2018-04-24 21:42:31 Role color: '👑 KİNG FOUNDER👑' changed from #b73578 to #7bead2
